OBJECTID,TOWN,ZIP_CODE,CTRACT2000,CBLKGROUP,TRCTBLKGRP,FOREC_RATE,SUBLN_RATE,Acres,Shp_Length,Shape__Area,Shape__Length
1,Pawtucket,02860,150,2,150.002,9,5.254908,129.67577024,9877.37746125,5648676.83183289,9877.37746124931
2,Pawtucket,02860,151,2,151.002,11,5.254908,62.9302226,8453.8556916,2741240.63266754,8453.85569159833
3,Pawtucket,02860,151,3,151.003,11,5.254908,39.78177688,6177.11314056,1732894.2870636,6177.11314055535
4,Pawtucket,02860,152,1,152.001,7,5.254908,66.89072062,9375.29771776,2913759.93489075,9375.29771775624
5,Pawtucket,02860,152,2,152.002,7,5.254908,76.05085187,8873.49715482,3312775.27217102,8873.49715481771
6,Pawtucket,02860,153,1,153.001,11,5.254908,51.46121117,6249.80293259,2241650.4701767,6249.80293258848
7,Pawtucket,02860,153,2,153.002,11,5.254908,51.08191747,6349.72084128,2225128.43563843,6349.72084128179
8,Pawtucket,02860,154,1,154.001,11,5.254908,49.55522893,7405.6807874,2158625.87930298,7405.68078740334
9,Pawtucket,02860,154,2,154.002,11,5.254908,39.50321293,6200.70725075,1720760.04078674,6200.70725074879
10,Pawtucket,02860,160,1,160.001,9,5.254908,100.5362945,12443.794162,4379361.20568085,12443.7941619905
11,Pawtucket,02860,160,2,160.002,9,5.254908,66.74852524,7940.01237149,2907565.90399933,7940.01237149275
12,Pawtucket,02860,160,3,160.003,9,5.254908,104.8760893,16230.916062,4568402.67682648,16230.9160619556
13,Pawtucket,02860,161,1,161.001,10,5.254908,82.86059757,10553.0243896,3609407.80926514,10553.0243895561
14,Pawtucket,02860,161,2,161.002,10,5.254908,42.62457344,6352.13698875,1856726.51158142,6352.13698875224
15,Pawtucket,02860,161,3,161.003,10,5.254908,57.57918399,8188.22311855,2508149.37939453,8188.22311854784
16,Pawtucket,02860,161,4,161.004,10,5.254908,53.33135333,9670.33679975,2323113.86669159,9670.33679975345
17,Pawtucket,02860,163,1,163.001,8,5.254908,331.32432108,17609.3549334,14432488.142334,17609.3549334407
18,Pawtucket,02860,163,2,163.002,8,5.254908,76.44699255,8213.66680957,3330031.16098785,8213.66680957438
19,Pawtucket,02860,163,3,163.003,8,5.254908,39.20733478,5385.78206147,1707871.58782196,5385.7820614742
20,Pawtucket,02860,164,1,164.001,11,5.254908,78.98289507,8300.02359788,3440495.07995605,8300.02359787501
21,Pawtucket,02860,164,2,164.002,11,5.254908,62.60158211,7533.6114896,2726925.05216217,7533.61148959908
22,Pawtucket,02860,164,3,164.003,11,5.254908,156.16704444,12272.0301501,6802636.79329681,12272.0301500817
23,Pawtucket,02860,166,1,166.001,9,5.254908,131.82727204,14462.5137996,5742396.2549057,14462.513799649
24,Pawtucket,02860,166,2,166.002,9,5.254908,48.36718166,7208.92412957,2106874.53784943,7208.92412956984
25,Pawtucket,02860,167,1,167.001,8,5.254908,92.80370809,12804.9706963,4042529.72532654,12804.970696316
26,Pawtucket,02860,167,2,167.002,8,5.254908,45.11333142,6439.61117729,1965136.81427765,6439.61117729319
27,Pawtucket,02860,167,3,167.003,8,5.254908,65.3550989,7287.60477597,2846868.24961853,7287.60477597313
28,Pawtucket,02860,171,1,171.001,7,5.254908,155.20129227,10614.3212949,6760568.62687683,10614.3212948788
29,Pawtucket,02860,171,3,171.003,7,5.254908,134.59482192,11993.6433554,5862950.73368835,11993.6433553515
30,Pawtucket,02860,171,4,171.004,7,5.254908,28.22166332,7345.74144326,1229335.71551514,7345.74144326249
31,Pawtucket,02861,155,1,155.001,9,3.321639,64.05647069,7782.33443196,2790300.00185394,7782.33443196457
32,Pawtucket,02861,155,2,155.002,9,3.321639,44.38185688,6501.41678464,1933273.78161621,6501.41678464082
33,Pawtucket,02861,155,3,155.003,9,3.321639,76.9016729,7711.50795357,3349837.03798676,7711.50795357147
34,Pawtucket,02861,155,4,155.004,9,3.321639,36.35790674,5498.58622865,1583750.49635315,5498.58622865214
35,Pawtucket,02861,156,2,156.002,8,3.321639,29.98196639,6305.56675588,1306014.52095795,6305.5667558836
36,Pawtucket,02861,156,3,156.003,8,3.321639,50.44380718,7131.99836992,2197332.349823,7131.99836992119
37,Pawtucket,02861,156,4,156.004,8,3.321639,38.60304779,6214.02655826,1681548.84553528,6214.02655825746
38,Pawtucket,02861,157,2,157.002,7,3.321639,64.23047709,8495.18452605,2797879.72097778,8495.18452604911
39,Pawtucket,02861,157,3,157.003,7,3.321639,73.29018516,9176.94044407,3192520.62410736,9176.94044406917
40,Pawtucket,02861,157,4,157.004,7,3.321639,36.13420638,5515.69131402,1574006.10822296,5515.6913140187
41,Pawtucket,02861,158,2,158.002,7,3.321639,46.57584576,6207.07668666,2028843.94229126,6207.07668665909
42,Pawtucket,02861,158,3,158.003,7,3.321639,73.68227064,7461.33879816,3209599.86850739,7461.33879816204
43,Pawtucket,02861,158,4,158.004,7,3.321639,33.74397294,5505.93352582,1469887.53424072,5505.93352582415
44,Pawtucket,02861,158,5,158.005,7,3.321639,34.47134914,5508.33508155,1501572.04335022,5508.33508154942
45,Pawtucket,02861,159,1,159.001,8,3.321639,52.305565,7311.02946315,2278430.52442932,7311.02946315278
46,Pawtucket,02861,159,2,159.002,8,3.321639,38.03637935,5719.10489929,1656864.76683044,5719.10489928712
47,Pawtucket,02861,159,3,159.003,8,3.321639,34.12197224,5066.1392782,1486353.1847229,5066.13927819843
48,Pawtucket,02861,159,4,159.004,8,3.321639,63.64811273,8728.66314475,2772511.92834473,8728.663144746
49,Pawtucket,02861,168,1,168.001,7,3.321639,81.23439665,8390.23754975,3538570.49383545,8390.23754975264
50,Pawtucket,02861,168,2,168.002,7,3.321639,52.05372158,6398.85217489,2267460.22476196,6398.85217489075
51,Pawtucket,02861,168,3,168.003,7,3.321639,87.4389553,7842.77124761,3808841.0821991,7842.77124761154
52,Pawtucket,02861,170,2,170.002,7,3.321639,69.25319136,7503.00425788,3016669.16550446,7503.00425788491
53,Pawtucket,02861,170,3,170.003,7,3.321639,71.04123276,7111.42537656,3094556.2527771,7111.42537655588
54,Pawtucket,02861,170,4,170.004,7,3.321639,62.96163911,6928.41543584,2742609.13595581,6928.41543584129
55,Central Falls,02863,108,1,108.001,12,2.32888,89.35815597,9921.34536635,3892441.46724701,9921.34536635062
56,Central Falls,02863,108,2,108.002,12,2.32888,95.02225177,8965.61601138,4139169.49259949,8965.61601138286
57,Central Falls,02863,109,2,109.002,11,2.32888,56.22053187,6983.05726895,2448966.48973846,6983.05726895468
58,Central Falls,02863,109,3,109.003,11,2.32888,64.77722464,7432.93989512,2821696.0453186,7432.93989511981
59,Central Falls,02863,110,2,110.002,12,2.32888,55.02749997,6722.83246696,2396998.01766968,6722.83246695505
60,Central Falls,02863,110,3,110.003,12,2.32888,46.71094138,6298.52772405,2034728.70785522,6298.5277240543
61,Central Falls,02863,111,1,111.001,11,2.32888,67.65958148,8631.73155886,2947251.51578522,8631.73155885653
62,Central Falls,02863,111,2,111.002,11,2.32888,115.02415419,11977.1719255,5010452.40536499,11977.1719254952
63,Cumberland,02864,112,4,112.004,7,2.097485,94.40611738,13317.3601045,4112330.67725372,13317.3601044673
64,Cumberland,02864,112,5,112.005,7,2.097485,73.38671334,9292.47602591,3196725.39194489,9292.4760259136
65,Warwick,02886,211,5,211.005,7,3.187281,131.5861318,14234.3314988,5731892.18579865,14234.3314987975
66,Warwick,02886,217,1,217.001,7,3.187281,194.36079105,21775.9567886,8466356.47835541,21775.9567885884
67,Warwick,02886,217,3,217.003,7,3.187281,98.53953664,8542.42397179,4292382.42912292,8542.42397179301
68,Warwick,02886,217,4,217.004,7,3.187281,103.49993233,9702.24780733,4508457.27612305,9702.24780732717
69,Warwick,02886,217,5,217.005,7,3.187281,120.21923533,10649.567266,5236750.15110779,10649.56726596
70,Warwick,02888,211,1,211.001,7,2.799134,281.09132278,18649.6061084,12244338.6278,18649.6061084338
71,Warwick,02888,211,2,211.002,7,2.799134,433.84468085,25767.1450974,18898275.235199,25767.1450974193
72,Warwick,02888,211,4,211.004,7,2.799134,443.83946787,22912.690368,19333648.1796188,22912.6903680249
73,Warwick,02889,215.01,1,215.011,7,4.411435,74.27704349,10013.986597,3235508.17519379,10013.9865970182
74,Warwick,02889,215.01,2,215.012,7,4.411435,117.92062755,9733.82512236,5136622.79120636,9733.82512236429
75,Warwick,02889,215.01,3,215.013,7,4.411435,103.24514962,10266.0217849,4497358.94083405,10266.0217849074
76,West Warwick,02893,201.02,1,201.021,7,3.739643,228.27766689,13480.4510623,9943775.66305542,13480.4510622971
77,West Warwick,02893,202,4,202.004,7,3.739643,77.76916871,10884.9485933,3387625.15745544,10884.9485933247
78,West Warwick,02893,203,2,203.002,8,3.739643,164.99718333,12318.769866,7187277.66260529,12318.7698659887
79,West Warwick,02893,203,3,203.003,8,3.739643,115.96620395,10939.4919379,5051488.09481049,10939.4919378702
80,West Warwick,02893,203,4,203.004,8,3.739643,44.41349234,5844.04040016,1934651.82254028,5844.04040016159
81,West Warwick,02893,203,5,203.005,8,3.739643,42.77414786,6096.51842562,1863241.97328949,6096.51842562161
82,West Warwick,02893,203,6,203.006,8,3.739643,55.45479873,8146.76915861,2415611.15283203,8146.76915860955
83,West Warwick,02893,204,1,204.001,7,3.739643,93.91233069,8558.00698474,4090821.32790375,8558.00698474175
84,West Warwick,02893,204,2,204.002,7,3.739643,112.68215228,12735.3372764,4908434.79708099,12735.3372763843
85,West Warwick,02893,204,3,204.003,7,3.739643,205.47821601,13262.053988,8950631.53340912,13262.0539879524
86,Woonsocket,02895,173,1,173.001,7,4.306934,99.75587258,10480.9395377,4345366.02545166,10480.9395376955
87,Woonsocket,02895,173,2,173.002,7,4.306934,118.51787748,9996.89015376,5162638.99949646,9996.89015376491
88,Woonsocket,02895,173,3,173.003,7,4.306934,107.54699953,12107.1632295,4684747.53223419,12107.163229477
89,Woonsocket,02895,174,3,174.003,10,4.306934,105.09312679,9225.98422186,4577856.83023071,9225.98422185521
90,Woonsocket,02895,175,1,175.001,8,4.306934,95.51366755,9561.7518635,4160575.56494141,9561.75186349812
91,Woonsocket,02895,175,3,175.003,8,4.306934,116.48944365,10372.3626691,5074280.41733551,10372.3626691056
92,Woonsocket,02895,176,1,176.001,10,4.306934,52.34717522,6295.25015783,2280243.06583405,6295.25015783158
93,Woonsocket,02895,176,2,176.002,10,4.306934,85.70690798,9874.97517787,3733393.09690094,9874.97517787314
94,Woonsocket,02895,177,3,177.003,8,4.306934,89.26713326,10404.888585,3888476.51790619,10404.8885849871
95,Woonsocket,02895,178,1,178.001,10,4.306934,75.62644719,7837.8140531,3294288.20307922,7837.81405310161
96,Woonsocket,02895,178,2,178.002,10,4.306934,38.08767506,5176.81892326,1659099.2082901,5176.81892326078
97,Woonsocket,02895,178,3,178.003,10,4.306934,41.86735993,7452.13173166,1823742.28934479,7452.13173165612
98,Woonsocket,02895,179,1,179.001,9,4.306934,77.72878646,8472.49794136,3385866.10653687,8472.49794136203
99,Woonsocket,02895,179,2,179.002,9,4.306934,65.24472867,7870.90841103,2842060.52220154,7870.9084110303
100,Woonsocket,02895,179,3,179.003,9,4.306934,47.59491994,6277.55211982,2073234.81562805,6277.55211982185
101,Woonsocket,02895,180,2,180.002,10,4.306934,108.91916542,13134.5346246,4744519.08127594,13134.5346246294
102,Woonsocket,02895,180,3,180.003,10,4.306934,53.29076967,6655.76252232,2321346.04202271,6655.76252231549
103,Woonsocket,02895,181,2,181.002,9,4.306934,78.26091768,11644.0161862,3409045.7434845,11644.016186171
104,Woonsocket,02895,182,2,182.002,8,4.306934,43.04826995,8076.38082611,1875182.73222351,8076.38082610795
105,Woonsocket,02895,183,1,183.001,8,4.306934,75.36499474,12235.8991092,3282899.33418274,12235.8991091972
106,Providence,02904,28,2,28.002,9,3.709786,46.35845426,7418.15557358,2019374.36790466,7418.155573579
107,Providence,02904,28,5,28.005,9,3.709786,81.47051268,7969.69587441,3548855.70874786,7969.69587440732
108,Providence,02904,29,1,29.001,10,3.709786,124.49679603,16455.0594202,5423080.70407104,16455.0594202333
109,Providence,02904,29,2,29.002,10,3.709786,53.73978035,7206.11715673,2340904.94842529,7206.11715672786
110,Providence,02904,29,3,29.003,10,3.709786,73.59049193,6992.43745058,3205601.98777008,6992.43745057929
111,Providence,02904,29,4,29.004,10,3.709786,232.1857894,17477.2164115,10114013.4882507,17477.2164115102
112,Providence,02904,31,2,31.002,7,3.709786,3.69881074,2963.72702479,161120.204185486,2963.72702478799
113,Providence,02904,31,3,31.003,7,3.709786,18.65716529,3908.44366435,812706.160644531,3908.44366435001
114,Providence,02904,31,5,31.005,7,3.709786,127.98005842,15209.7272721,5574811.62130737,15209.7272720997
115,North Providence,02904,118,1,118.001,7,3.709786,231.14044686,12762.3592235,10068478.3647842,12762.3592235133
116,North Providence,02904,118,2,118.002,7,3.709786,107.61086765,9819.49889495,4687529.62753296,9819.4988949472
117,North Providence,02904,118,4,118.004,7,3.709786,118.08023582,9271.47927101,5143575.32756805,9271.47927100867
118,North Providence,02904,118,5,118.005,7,3.709786,159.31600663,10972.7501974,6939805.59312439,10972.7501974337
119,Providence,02905,1.01,1,1.011,11,4.038218,390.79705406,22149.0881818,17023120.5194168,22149.0881817894
120,Providence,02905,1.01,2,1.012,11,4.038218,27.78074479,4566.88508157,1210129.30310822,4566.8850815715
121,Providence,02905,1.01,3,1.013,11,4.038218,122.29962145,12516.74362,5327371.77471924,12516.7436200261
122,Providence,02905,1.01,4,1.014,11,4.038218,55.87655619,7043.04512879,2433982.90846252,7043.0451287897
123,Providence,02905,1.02,1,1.021,11,4.038218,53.13853637,8451.21099667,2314714.7593689,8451.21099667292
124,Providence,02905,1.02,3,1.023,11,4.038218,50.73174691,6815.38996069,2209875.00523376,6815.38996068503
125,Providence,02905,4,1,4.001,12,4.038218,65.21493254,7789.42376203,2840762.60269928,7789.42376202682
126,Providence,02905,4,3,4.003,12,4.038218,38.22636762,5563.46469891,1665140.65615845,5563.46469891422
127,Providence,02905,4,4,4.004,12,4.038218,31.72775385,4742.8791546,1382061.02671051,4742.87915459933
128,Providence,02905,5,1,5.001,13,4.038218,46.22526618,5820.22953501,2013572.6947403,5820.22953500748
129,Providence,02905,5,2,5.002,13,4.038218,24.65077269,4222.00593103,1073787.71172333,4222.0059310261
130,Providence,02905,5,3,5.003,13,4.038218,73.63815006,7426.75657804,3207677.97584534,7426.75657803751
131,Providence,02905,6,2,6.002,12,4.038218,88.038249,9472.34535491,3834946.31672668,9472.34535490511
132,Providence,02905,7,1,7.001,12,4.038218,13.49454794,3914.33683211,587822.537452698,3914.33683211078
133,Cranston,02905,135,1,135.001,7,4.038218,116.92648932,13062.6201439,5093318.1275177,13062.6201438866
134,Cranston,02905,135,2,135.002,7,4.038218,30.21147268,5785.06233602,1316011.81554413,5785.06233602098
135,Cranston,02905,135,3,135.003,7,4.038218,41.99543633,5564.01340682,1829321.29769135,5564.01340681985
136,Cranston,02905,135,4,135.004,7,4.038218,67.21131975,10449.8033383,2927725.23355103,10449.8033382516
137,Cranston,02905,135,5,135.005,7,4.038218,92.31180446,8642.21415812,4021102.4020462,8642.21415812118
138,Providence,02907,2,1,2.001,12,4.538329,48.44378902,7388.83193011,2110211.55443573,7388.83193010911
139,Providence,02907,2,2,2.002,12,4.538329,42.8253335,6085.54988893,1865471.62000275,6085.5498889291
140,Providence,02907,2,3,2.003,12,4.538329,31.63750737,4700.97038172,1378129.88980103,4700.97038171795
141,Providence,02907,2,4,2.004,12,4.538329,30.57020671,4719.69591126,1331638.27078247,4719.69591125924
142,Providence,02907,2,5,2.005,12,4.538329,118.3443108,11360.6452115,5155078.43414307,11360.6452115113
143,Providence,02907,3,1,3.001,12,4.538329,41.98203778,6307.12158172,1828737.6568222,6307.12158171621
144,Providence,02907,3,2,3.002,12,4.538329,38.13564166,6692.8711957,1661188.63328552,6692.8711957044
145,Providence,02907,3,3,3.003,12,4.538329,26.66146038,4694.69108982,1161373.27191925,4694.69108981809
146,Providence,02907,3,4,3.004,12,4.538329,34.7438961,5950.62416277,1513444.18939972,5950.62416276629
147,Providence,02907,3,5,3.005,12,4.538329,32.60661647,5530.50592449,1420344.28406525,5530.50592449398
148,Providence,02907,3,6,3.006,12,4.538329,42.94400845,6943.15747117,1870641.10121155,6943.1574711674
149,Providence,02907,3,7,3.007,12,4.538329,56.9365066,7077.95163504,2480154.35079956,7077.95163503834
150,Providence,02907,4,2,4.002,12,4.538329,24.37208323,4897.16627915,1061647.99835968,4897.16627915106
151,Providence,02907,7,2,7.002,12,4.538329,51.86782033,7921.7721075,2259362.3658371,7921.77210749687
152,Providence,02907,7,3,7.003,12,4.538329,17.685504,3959.27836836,770380.592506409,3959.27836835902
153,Providence,02907,12,1,12.001,8,4.538329,47.36275828,6675.27764147,2063121.85313416,6675.27764147021
154,Providence,02907,12,3,12.003,8,4.538329,39.31139378,5754.78926921,1712404.39816284,5754.78926921334
155,Providence,02907,14,1,14.001,13,4.538329,30.36486941,4818.2288138,1322693.77727509,4818.22881380228
156,Providence,02907,14,2,14.002,13,4.538329,38.96692751,5380.43792612,1697399.44667053,5380.43792612159
157,Providence,02907,14,5,14.005,13,4.538329,43.47717832,5943.2120915,1893865.98191071,5943.21209150211
158,Providence,02907,14,6,14.006,13,4.538329,41.12878519,6212.30911296,1791569.97188568,6212.30911295769
159,Providence,02907,15,2,15.002,9,4.538329,65.36900164,7784.90125218,2847473.85292053,7784.90125218255
160,Providence,02907,15,3,15.003,9,4.538329,45.31242183,7487.5299042,1973809.19301605,7487.52990420252
161,Providence,02908,21,1,21.001,10,5.590804,51.9822849,6554.0607559,2264348.44274902,6554.06075590328
162,Providence,02908,21,2,21.002,10,5.590804,41.80908007,6285.80285044,1821203.61834717,6285.80285043891
163,Providence,02908,21,3,21.003,10,5.590804,34.1744874,4858.21875551,1488640.7452774,4858.21875550635
164,Providence,02908,21,4,21.004,10,5.590804,57.59509861,6419.90576217,2508842.62007904,6419.90576216979
165,Providence,02908,21,5,21.005,10,5.590804,41.71473467,5510.28195044,1817093.93273163,5510.28195044281
166,Providence,02908,21,7,21.007,10,5.590804,40.58722004,5572.51308318,1767979.39268494,5572.51308317534
167,Providence,02908,21,8,21.008,10,5.590804,30.34749192,4991.85152441,1321936.81363678,4991.85152440837
